tool_id,tool_name,directory,event_type,version,old_version,change_type,commit_hash,commit_date,commit_message
bedtools_jaccard,bedtools JaccardBed,bedtools,new,2.19.0,,initial,92c3dee5f0146833f3aab9a221d3ff93393fea49,2014-12-17T14:00:28+00:00,fix bedtools jaccard
bedtools_annotatebed,bedtools AnnotateBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_bamtobed,bedtools BAM to BED,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_bed12tobed6,bedtools BED12 to BED6,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_bedpetobam,bedtools BEDPE to BAM,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_closestbed,bedtools ClosestBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_clusterbed,bedtools ClusterBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_complementbed,bedtools ComplementBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_coveragebed,bedtools Compute both the depth and breadth of coverage,bedtools,new,2.22.1,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_expandbed,bedtools ExpandBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_getfastabed,bedtools getfasta,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_groupbybed,bedtools GroupByBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_intersectbed,bedtools Intersect intervals,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_jaccard,bedtools JaccardBed,bedtools,update,2.22.0,2.19.0,wrapper,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_links,bedtools LinksBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_makewindowsbed,bedtools MakeWindowsBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_map,bedtools MapBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_maskfastabed,bedtools MaskFastaBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_mergebed,bedtools MergeBED,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_multicovtbed,bedtools MultiCovBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_multiintersectbed,bedtools Multiple Intersect,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_nucbed,bedtools NucBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_overlapbed,bedtools OverlapBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_randombed,bedtools RandomBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_reldistbed,bedtools ReldistBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_shufflebed,bedtools ShuffleBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_slopbed,bedtools SlopBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_sortbed,bedtools SortBED,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_subtractbed,bedtools SubtractBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_tagbed,bedtools TagBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_unionbedgraph,bedtools Merge BedGraph files,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
bedtools_windowbed,bedtools WindowBed,bedtools,new,2.22.0,,initial,203ac16ab5279e77b11ca7e6c978844fd9ad95dc,2015-01-06T18:45:48+00:00,Merge pull request #21 from galaxyproject/bedtools-update
gemini_@BINARY@,GEMINI @BINARY@,gemini,new,0.10.1.0,,initial,7297280349d057d23dbe511cfc86a8bc3798c0ea,2015-01-14T19:24:05+00:00,Fixes for tools not fully accounting for using string.printable within custom sanitizers.
seqtk_sample,seqtk_sample,seqtk,new,1.0-r75-dirty.0,,initial,06f207df2224c5f3bba1fb06a88026fc1b996d57,2015-02-05T17:00:07+00:00,Description was missed in code review
bedtools_genomecoveragebed,bedtools Genome Coverage,bedtools,new,2.22.0,,initial,eb4fa8862fb1785471e149afb68d0303d83128b2,2015-02-28T03:54:29+00:00,Merge branch 'master' of https://github.com/galaxyproject/tools-iuc
stringtie,StringTie,stringtie,new,1.0.1,,initial,9a6abbc1e0206d1a52070b47586e5bcf05d93f4b,2015-03-06T22:15:26+00:00,Merge branch 'master' of https://github.com/galaxyproject/tools-iuc
bedtools_map,bedtools MapBed,bedtools,update,2.22.1,2.22.0,wrapper,d4a05b4ae7ce4852f0b53681b77ae06cbc0919cf,2015-04-24T17:43:54+00:00,Merge pull request #111 from galaxyproject/bedtools-update
bedtools_mergebed,bedtools MergeBED,bedtools,update,2.22.1,2.22.0,wrapper,d4a05b4ae7ce4852f0b53681b77ae06cbc0919cf,2015-04-24T17:43:54+00:00,Merge pull request #111 from galaxyproject/bedtools-update
abyss-pe,ABySS,abyss,new,1.0.0,,initial,a3bd17d8c0f737391e615317780338b827ed8275,2015-05-04T21:12:17+00:00,Merge pull request #121 from galaxyproject/travis-warnings
macs2_bdgbroadcall,MACS2 bdgbroadcall,macs2,new,2.1.0.20140616.0,,initial,a3bd17d8c0f737391e615317780338b827ed8275,2015-05-04T21:12:17+00:00,Merge pull request #121 from galaxyproject/travis-warnings
macs2_bdgcmp,MACS2 bdgcmp,macs2,new,2.1.0.20140616.0,,initial,a3bd17d8c0f737391e615317780338b827ed8275,2015-05-04T21:12:17+00:00,Merge pull request #121 from galaxyproject/travis-warnings
macs2_bdgdiff,MACS2 bdgdiff,macs2,new,2.1.0.20140616.0,,initial,a3bd17d8c0f737391e615317780338b827ed8275,2015-05-04T21:12:17+00:00,Merge pull request #121 from galaxyproject/travis-warnings
macs2_bdgpeakcall,MACS2 bdgpeakcall,macs2,new,2.1.0.20140616.0,,initial,a3bd17d8c0f737391e615317780338b827ed8275,2015-05-04T21:12:17+00:00,Merge pull request #121 from galaxyproject/travis-warnings
