Ctrl_cell_T0-1	Ctrl_cell_T0-2	Ctrl_cell_T2h-1	Ctrl_cell_T2h-2	L-Cyc_cell_T0-1	L-Cyc_cell_T0-2	L-Cyc_cell_T2h-1	L-Cyc_cell_T2h-2
	81.46798666666666	31.66305777777778	488.62223666666665	30.88032133333333			108.58193666666666
1765.8621555555562	2350.101706666667	565.6100944444463	1636.1451616666689	1112.7411533333332	1571.7939723809532		2082.227511666667
31339.848144444444	19953.50235833333	15011.070372222222	26867.87940833333	20173.435886666663	14121.041376190477	15741.494772222224	25731.819858333336
15263.525582222224	10653.204421666667	7620.266247777778	12194.176071666669	9284.639177333334	7131.811518095239	6702.562494444444	11674.364736666666
556790.6730444445	410704.96478333336	215369.0898555556	457681.9897833334	337548.2038266667	233788.3998761905	229354.8698555556	416586.1147833334
723695.6614222223	871117.5290666667	433211.3440444445	674932.9420666667	545783.4088533333	441641.19203809527	354037.3863777778	633452.6395666667
14581.8738	7816.563399999999	7056.1679	14626.51065	9781.123839999998	6324.36291142857	8061.856666666667	13276.4346
5680.366466666666	7466.331200000001	4182.386200000001	4069.3133	5139.229840000001	3719.848742857144	2943.6414666666674	4496.78815
							
71486.78267333333	55376.312	8361.739503333332	20235.678005	34321.611392	23119.75461142857	7664.626003333333	15616.709855
139191.37992666668	104355.486845	46972.50566333334	106954.896995	82261.28531600001	55875.25868285714	47872.660330000006	95053.066995
18606.32958888889	9863.261441666667	4512.041427777778	8956.960391666667	8701.497033333335	5374.547080952381	4094.7460777777774	6858.299791666668
16420.387355555555	15111.119316666667	8215.772844444444	11717.067916666669	12255.282253333333	8082.469038095238	7269.836411111111	11350.365116666668
1073607.0293955556	1722584.2720466666	973301.2546977778	991816.0770466666	879872.2496373333	726504.4068838095	614361.0746977777	951194.5220466666
11537.73680888889	13806.366056666666	8333.777904444445	8813.939856666668	9173.407525333334	6579.528718095239	6643.038094444445	9442.279106666669
83435.18658666659	84111.08978999997	28512.00635999997	76546.89803999996	79766.01795199995	59945.28643999999	37016.17602666664	84042.47953999996
50953.09172444445	49086.99679333334	28047.987862222224	45217.35266333333	38660.34303466667	29593.68731047619	25367.68152888889	44736.38582833333
246751.26231111115	294311.09893333336	140657.68205555558	222115.47443333332	189439.93394666663	150023.76081904763	115791.1377888889	208570.64043333332
6399.387268888889	4826.820016666667	3510.949071111111	6967.536411666666	4196.610013333333	3581.472580952381	4106.875117777778	6867.035166666667
34591.22677111111	27843.714578333333	20292.68838555556	30783.49357833333	24105.163262666665	18470.518616190475	18382.152052222224	30617.72957833333
162184.6072	122218.556075	79915.61493	130398.02227	113231.489568	82710.40769142858	75580.73975333333	125274.2576
4101.068422222223	4813.902566666667	2571.5729777777774	2610.923316666667	2975.5369333333333	2079.1386666666667	2157.056777777778	2678.538611666667
216327.26993777772	233028.4349533333	117722.98240222225	189134.5396533333	158752.20572266664	127191.9668304762	98779.61883555556	178181.92245333333
204800.46126444443	179839.41518833334	124299.92819888888	183414.65549833333	153570.35555866666	121953.23554190477	102920.69711555557	178884.87684833334
629.5377555555556	1468.379316666667	1214.9325444444444	2671.4148166666664	750.1246533333333	639.8964666666667	960.6392111111112	2012.052316666667
