ID_researcher	GROUPING_department	PMID_1	PMID_2	PMID_3	PMID_4	PMID_5	PMID_6	PMID_7	PMID_8	PMID_9	PMID_10
Abazeed, Mohamed	Translational Hematology and Oncology Research	30202792	28017592	27109210	26384271	23980093	18784256	30709865	29795413	27088724	NA
Achkar, Jean-Paul	Inflammation and Immunity	31275068	30535303	26039718	25105946	24241240	23598818	22170232	21115545	18622155	17879519
Ahern, Philip	Cardiovascular and Metabolic Sciences	19161422	20732640	24950201	31138692	28041931	24452263	21677749	20393462	17030949	23898195
Alberts, Jay	Biomedical Engineering	31034314	30946318	30921170	30901418	30826715	30735197	30543801	30135951	30109948	29794620
Almasan, Alexandru	Cancer Biology	30067424	29995557	28331288	27413424	26537004	26026052	25590803	25308257	25061101	24655592
Anand-Apte, Bela	Ophthalmic Research	30129971	29874129	25558000	25447564	23831329	23469166	22183345	22183341	21282576	20976146
Apte, Suneel	Biomedical Engineering	30814516	30738849	30201140	29885460	29642006	29515038	28323982	28176809	27687499	26657033
Aronica, Mark	Inflammation and Immunity	30691715	29966020	26448757	26209637	25988016	23118230	22917573	21251977	20477600	15577850
Asosingh, Kewal	Inflammation and Immunity	30523671	30460535	29911993	29659138	29573550	29296972	29264954	27270458	26810221	25621158
Baker, Ken	Neurosciences	30061053	27151601	22661933	20816822	20059997	18091226	17078088	16234691	15611943	15269959
Baldwin, William	Inflammation and Immunity	30903736	28614792	26575854	25582188	25160697	25145937	22789623	21937238	21157344	20689436
Baltan, Selva	Neurosciences	31010535	30135960	30125643	29891729	26407763	30385717	27683897	25034458	23881453	23050648
Bao, Shideng	Cancer Biology	29848664	27923907	27740621	26510911	25580734	24831540	24675569	23563177	23540695	22569092
Barnard, John	Quantitative Health Sciences	27856959	23863953	16373612	30902390	30407210	29937400	25523945	24465984	24854990	29287092
Beck, Gerry	Quantitative Health Sciences	24646858	27233381	27774730	28301073	29064128	25349205	27716149	28741050	29621747	30071516
Bekris, Lynn	Genomic Medicine Institute	30779703	29685286	29371683	29253717	28934645	28033507	25808939	25711455	24011543	23892237
Bergmann, Cornelia	Neurosciences	30619363	30333176	30222502	29942315	29690885	29491163	28931676	28495370	28108025	27658544
Berkner, Kathleen	Cardiovascular and Metabolic Sciences	31009158	29592891	22536908	22516721	21896484	20978134	18717596	17073445	16634640	16061481
Blankenberg, Daniel	Genomic Medicine Institute	29790989	29688462	25655493	25001293	24743989	24585771	21775304	21531983	20562416	20069535
Bonilha, Vera	Ophthalmic Research	29721921	28088625	26215528	26202387	27747301	25491159	25265374	24664754	24090540	23844142
Brown, J. Mark	Cardiovascular and Metabolic Sciences	29307889	29172946	29074585	28636934	28389555	27941027	27396333	26729489	26218418	25930707
Bruggeman, Leslie	Inflammation and Immunity	31202388	30332315	29192064	27026370	24788168	23087767	21221075	19857388	19776779	17195181
Byzova, Tatiana	Neurosciences	29724896	28860945	28829753	28570266	27713004	26971877	26965920	25966710	25595903	25540429
Cheng, Feixiong	Genomic Medicine Institute	31178408	31116390	30928438	30921324	30867426	30779739	30715873	30610579	30545954	30359818
Cheng, Jianguo	Neurosciences	30649518	30615177	30252120	29897539	29285750	28938297	28445708	28291470	27906939	27739217
Cherepanova, Olga	Cardiovascular and Metabolic Sciences	27183216	19168440	30089722	28283548	23912340	17704209	30814500	28920957	25985364	23537062
Chung, Mina	Cardiovascular and Metabolic Sciences	31216884	29038104	27139902	26258174	25779222	25552627	25523945	25221331	24831860	24793801
Claesen, Jan	Cardiovascular and Metabolic Sciences	30244719	26376792	25079685	25053784	25036635	21421760	20805503	20351769	30389766	26876034
Comhair, Suzy	Inflammation and Immunity	30376852	26048149	25488689	22427538	21572527	19634987	15883124	15743779	15650397	12114185
Crabb, John	Ophthalmic Research	26305875	24799364	24098476	22876128	21917933	20412794	20238042	20177130	19435712	19202148
Cresci, Gail	Inflammation and Immunity	30621265	30211234	29874807	29385239	28737582	28333199	28087985	27540042	25855578	26919968
Dalton, Jarrod	Quantitative Health Sciences	29710255	29175048	28847012	27636569	27185687	27050445	25852080	24911906	23503367	22847754
Dana, Hod	Neurosciences	30956633	30308007	28824341	27011354	25250714	24898000	23482141	22825176	21445129	30361563
Davalos, Dimitrios	Neurosciences	30405384	29765914	27579180	27007810	26705377	26579010	24740641	24698096	30737131	30323343
De la Motte, Carol	Inflammation and Immunity	31262781	29574062	29290146	28978412	28562487	27981209	27845198	27679489	27398974	26583132
