POM_1.1_GU002295 was removed because does not look like a gene, so removing its metadata
VanC1XY.1_AF162694 was removed because does not look like a gene, so removing its metadata
VanC1XY.2_DQ022190 was removed because does not look like a gene, so removing its metadata
VanC2XY.1_EU151754 was removed because does not look like a gene, so removing its metadata
VanC2XY.2_EU151755 was removed because does not look like a gene, so removing its metadata
VanC2XY.3_EU151757 was removed because does not look like a gene, so removing its metadata
VanC2XY.4_EU151758 was removed because does not look like a gene, so removing its metadata
VanC2XY.5_EU151760 was removed because does not look like a gene, so removing its metadata
VanC3XY.1_AY033764 was removed because does not look like a gene, so removing its metadata
VanC3XY.2_EU151759 was removed because does not look like a gene, so removing its metadata
VanC4XY.1_EU151752 was removed because does not look like a gene, so removing its metadata
VanC4XY.2_EU151753 was removed because does not look like a gene, so removing its metadata
VanC4XY.3_EU151756 was removed because does not look like a gene, so removing its metadata
VanE.1_AF136925 was removed because does not look like a gene, so removing its metadata
VanEXY.1_FJ872411 was removed because does not look like a gene, so removing its metadata
VanG2XY.1_FJ872410 was removed because does not look like a gene, so removing its metadata
VanGXY.1_AY271782 was removed because does not look like a gene, so removing its metadata
VanHAX.1_FJ866609 was removed because does not look like a gene, so removing its metadata
VanHAX.2_M97297 was removed because does not look like a gene, so removing its metadata
VanHAX.PA_1_DQ018711 was removed because does not look like a gene, so removing its metadata
VanHAX.PT_1_DQ018710 was removed because does not look like a gene, so removing its metadata
VanHAX.PT_2_AY926880 was removed because does not look like a gene, so removing its metadata
VanHBX.1_AF192329 was removed because does not look like a gene, so removing its metadata
VanHBX.2_U35369 was removed because does not look like a gene, so removing its metadata
VanHDX.1_AF130997 was removed because does not look like a gene, so removing its metadata
VanHDX.2_EU999036 was removed because does not look like a gene, so removing its metadata
VanHDX.3_AF175293 was removed because does not look like a gene, so removing its metadata
VanHDX.4_AY082011 was removed because does not look like a gene, so removing its metadata
VanHDX.5_AY489045 was removed because does not look like a gene, so removing its metadata
VanHDX.6_DQ172830 was removed because does not look like a gene, so removing its metadata
VanHDX.7_AB242319 was removed because does not look like a gene, so removing its metadata
VanHFX.1_AF155139 was removed because does not look like a gene, so removing its metadata
VanHMX.1_FJ349556 was removed because does not look like a gene, so removing its metadata
VanHOX.1_KF478993 was removed because does not look like a gene, so removing its metadata
VanLXY.1_EU250284 was removed because does not look like a gene, so removing its metadata
VanNXY.1_JF802084 was removed because does not look like a gene, so removing its metadata
VanX.bc_1_Y15708 was removed because does not look like a gene, so removing its metadata
aac_6___29a.1_AF263519 was removed because does not look like a gene, so removing its metadata
aac_6___29b.1_AF263519 was removed because does not look like a gene, so removing its metadata
blaA.1_DQ424965 was removed because does not look like a gene, so removing its metadata
blaACC_3.1_AF180958 was removed because does not look like a gene, so removing its metadata
