"Gene","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_021342655.1","GCA_021534865.1","GCA_021697815.1","GCA_021890555.1"
"groups_0","RHS element core protein, DUF6531 domain-containing protein","2","2","1.0","4209","4533","4371.0","","GCA_021534865.1-NZ_CP091038.1-708-cds-WP_235392029.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-2478-cds-WP_237441651.1"
"rhsD","DUF4329 domain-containing protein, rhs element protein RhsD","2","2","1.0","4281","4290","4286.0","","GCA_021534865.1-NZ_CP091038.1-2235-cds-WP_235392037.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3492-cds-WP_237441668.1"
"groups_2","RHS element core protein, DUF6531 domain-containing protein","2","2","1.0","3690","4134","3912.0","","GCA_021534865.1-NZ_CP091038.1-3679-cds-WP_000015389.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-122-cds-WP_237441636.1"
"rhsB","rhs element protein RhsB","1","1","1.0","4236","4236","4236","","GCA_021534865.1-NZ_CP091038.1-3804-cds-WP_032167211.1","",""
"groups_4","RHS element core protein, DUF6531 domain-containing protein","2","2","1.0","4227","4248","4238.0","","GCA_021534865.1-NZ_CP091038.1-2510-cds-WP_151309019.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3740-cds-WP_200967877.1"
"groups_5","RHS element core protein, DUF6531 domain-containing protein","2","2","1.0","4227","4521","4374.0","","GCA_021534865.1-NZ_CP091038.1-2514-cds-WP_235392020.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3745-cds-WP_237441670.1"
"groups_6","DUF6531 domain-containing protein","1","1","1.0","4185","4185","4185","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-4519-cds-WP_237441675.1"
"groups_7","DUF6531 domain-containing protein","1","1","1.0","4200","4200","4200","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-3249-cds-WP_237441666.1"
"groups_8","type IV toxin-antitoxin system YeeU family antitoxin","1","1","1.0","369","369","369","GCA_021342655.1-NZ_JAJTPH010000044.1-3866-cds-WP_001305076.1","","",""
"cbtA","type IV toxin-antitoxin system toxin CbtA, type IV toxin-antitoxin system YeeU family antitoxin, type IV toxin-antitoxin system cytoskeleton bundling-enhancing antitoxin CbeA","4","4","1.0","306","369","353.0","GCA_021342655.1-NZ_JAJTPH010000007.1-5240-cds-WP_044863316.1","GCA_021534865.1-NZ_CP091038.1-256-cds-WP_001285585.1","GCA_021697815.1-NZ_JAJPUS010000011.1-227-cds-WP_001285585.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1854-cds-WP_001285585.1"
"groups_10","type IV toxin-antitoxin system YeeU family antitoxin","3","3","1.0","369","369","369.0","","GCA_021534865.1-NZ_CP091038.1-4334-cds-WP_001285610.1","GCA_021697815.1-NZ_JAJPUS010000012.1-425-cds-WP_038432125.1","GCA_021890555.1-NZ_JAKLOD010000001.1-767-cds-WP_024174331.1"
"groups_11","type IV toxin-antitoxin system YeeU family antitoxin","1","1","1.0","366","366","366","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-4089-cds-WP_001059301.1"
"cbtA_00001","type IV toxin-antitoxin system toxin CbtA","2","2","1.0","375","375","375.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-503-cds-WP_032153712.1","GCA_021890555.1-NZ_JAKLOD010000001.1-821-cds-WP_032153712.1"
"groups_13","type IV toxin-antitoxin system YeeU family antitoxin","3","3","1.0","270","369","334.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3875-cds-WP_072003827.1","GCA_021534865.1-NZ_CP091038.1-4686-cds-WP_001285573.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4093-cds-WP_236929810.1",""
"groups_14","type IV toxin-antitoxin system YeeU family antitoxin","1","1","1.0","369","369","369","","GCA_021534865.1-NZ_CP091038.1-1511-cds-WP_001285114.1","",""
"groups_15","DUF945 domain-containing protein","3","3","1.0","822","822","822.0","","GCA_021534865.1-NZ_CP091038.1-260-cds-WP_001234530.1","GCA_021697815.1-NZ_JAJPUS010000011.1-223-cds-WP_001234504.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1858-cds-WP_001593466.1"
"groups_16","DUF945 domain-containing protein","2","2","1.0","819","819","819.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-507-cds-WP_001234693.1","GCA_021890555.1-NZ_JAKLOD010000001.1-825-cds-WP_237441638.1"
