gene_id,sample_id,seq_id,length,gene_name,gene_product,gene_index,strand
GCA_021342655.1-NZ_JAJTPH010000101.1-3-cds-WP_233337042.1,GCA_021342655.1,NZ_JAJTPH010000101.1,777,,phage terminase large subunit family protein,0,-
GCA_021342655.1-NZ_JAJTPH010000102.1-6-cds-WP_000605862.1,GCA_021342655.1,NZ_JAJTPH010000102.1,498,,entry exclusion protein,0,-
GCA_021342655.1-NZ_JAJTPH010000103.1-8-cds-LXO36_RS27150,GCA_021342655.1,NZ_JAJTPH010000103.1,573,,IS1380-like element ISEcp1 family transposase,0,-
GCA_021342655.1-NZ_JAJTPH010000106.1-12-cds-LXO36_RS27165,GCA_021342655.1,NZ_JAJTPH010000106.1,594,,IS5-like element IS903 family transposase,0,+
GCA_021342655.1-NZ_JAJTPH010000109.1-19-cds-WP_021512235.1,GCA_021342655.1,NZ_JAJTPH010000109.1,399,,DNA-packaging protein FI,0,+
GCA_021342655.1-NZ_JAJTPH010000010.1-22-cds-LXO36_RS13375,GCA_021342655.1,NZ_JAJTPH010000010.1,171,,transposase,0,+
GCA_021342655.1-NZ_JAJTPH010000010.1-23-cds-LXO36_RS13380,GCA_021342655.1,NZ_JAJTPH010000010.1,876,,PTS ascorbate transporter subunit IIC,1,-
GCA_021342655.1-NZ_JAJTPH010000010.1-25-cds-WP_000939276.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1245,,MFS transporter,2,-
GCA_021342655.1-NZ_JAJTPH010000010.1-26-cds-WP_000440185.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1014,,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,3,-
GCA_021342655.1-NZ_JAJTPH010000010.1-27-cds-WP_233291388.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1518,,UxaA family hydrolase,4,-
GCA_021342655.1-NZ_JAJTPH010000010.1-28-cds-WP_001545174.1,GCA_021342655.1,NZ_JAJTPH010000010.1,900,,dihydrodipicolinate synthase family protein,5,-
GCA_021342655.1-NZ_JAJTPH010000010.1-29-cds-WP_001064798.1,GCA_021342655.1,NZ_JAJTPH010000010.1,765,,IclR family transcriptional regulator,6,+
GCA_021342655.1-NZ_JAJTPH010000010.1-30-cds-LXO36_RS13415,GCA_021342655.1,NZ_JAJTPH010000010.1,279,,transposase DNA-binding-containing protein,7,+
GCA_021342655.1-NZ_JAJTPH010000010.1-31-cds-LXO36_RS13420,GCA_021342655.1,NZ_JAJTPH010000010.1,246,,transposase domain-containing protein,8,-
GCA_021342655.1-NZ_JAJTPH010000010.1-32-cds-LXO36_RS13425,GCA_021342655.1,NZ_JAJTPH010000010.1,231,,transposase domain-containing protein,9,-
GCA_021342655.1-NZ_JAJTPH010000010.1-33-cds-LXO36_RS13430,GCA_021342655.1,NZ_JAJTPH010000010.1,156,,phosphoethanolamine transferase,10,+
GCA_021342655.1-NZ_JAJTPH010000010.1-34-cds-LXO36_RS13435,GCA_021342655.1,NZ_JAJTPH010000010.1,447,,Arm DNA-binding domain-containing protein,11,-
GCA_021342655.1-NZ_JAJTPH010000010.1-36-cds-WP_001296699.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1020,ahr,NADPH-dependent aldehyde reductase Ahr,12,+
GCA_021342655.1-NZ_JAJTPH010000010.1-37-cds-WP_001296698.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1503,yjgR,DUF853 domain-containing protein,13,+
