	coverage	information_content	shannon_entropy
0	1.0	1.5672	0.0
1	1.0	1.5672	0.0
2	1.0	1.5672	0.0
3	1.0	1.5672	0.0
4	1.0	1.5672	0.0
5	1.0	1.5672	0.0
6	1.0	1.5672	0.0
7	1.0	1.5672	0.0
8	1.0	1.5672	0.0
9	1.0	1.5672	0.0
10	1.0	1.5672	0.0
11	1.0	1.5672	0.0
12	1.0	1.5672	0.0
13	1.0	0.8453	0.5004
14	1.0	0.8453	0.5004
15	1.0	0.8453	0.5004
16	1.0	0.8453	0.5004
17	1.0	0.8453	0.5004
18	1.0	1.5672	0.0
19	1.0	0.8453	0.5004
20	1.0	0.8453	0.5004
21	1.0	1.5672	0.0
22	1.0	1.5672	0.0
23	1.0	1.5672	0.0
24	1.0	1.5672	0.0
25	1.0	0.8453	0.5004
26	1.0	0.8453	0.5004
27	1.0	0.8453	0.5004
28	1.0	0.8453	0.5004
29	1.0	0.8453	0.5004
30	1.0	0.8453	0.5004
31	1.0	0.8453	0.5004
32	1.0	0.8453	0.5004
33	1.0	1.5672	0.0
34	1.0	0.8453	0.5004
35	1.0	0.8453	0.5004
36	1.0	0.8453	0.5004
37	1.0	0.8453	0.5004
38	1.0	0.8453	0.5004
39	1.0	0.8453	0.5004
40	1.0	0.8453	0.5004
41	1.0	0.8453	0.5004
42	1.0	1.5672	0.0
43	1.0	0.8453	0.5004
44	1.0	0.5962	0.673
45	1.0	0.1962	0.9503
46	1.0	0.8453	0.5004
47	1.0	1.5672	0.0
48	1.0	1.5672	0.0
49	1.0	1.5672	0.0
50	1.0	0.8453	0.5004
51	1.0	0.8453	0.5004
52	1.0	1.5672	0.0
53	1.0	1.5672	0.0
54	1.0	1.5672	0.0
55	0.6	0.9403	0.0
56	0.6	0.9403	0.0
57	0.6	0.9403	0.0
58	0.6	0.9403	0.0
59	0.6	0.9403	0.0
60	0.6	0.9403	0.0
61	0.6	0.9403	0.0
62	0.6	0.9403	0.0
63	0.6	0.9403	0.0
64	0.6	0.9403	0.0
65	0.6	0.9403	0.0
66	0.6	0.9403	0.0
67	0.6	0.9403	0.0
68	0.6	0.9403	0.0
69	0.6	0.9403	0.0
70	0.6	0.9403	0.0
71	0.6	0.9403	0.0
72	0.6	0.9403	0.0
73	0.6	0.9403	0.0
74	0.6	0.9403	0.0
75	0.6	0.9403	0.0
76	0.6	0.9403	0.0
77	0.6	0.9403	0.0
78	0.6	0.9403	0.0
79	0.6	0.9403	0.0
80	0.6	0.9403	0.0
81	0.6	0.9403	0.0
82	0.6	0.9403	0.0
